order_id,item_seq,product_id,quantity,unit_price,total_price
ORD_0000001,1,PROD_00250,1,30000,30000
ORD_0000001,2,PROD_00395,1,5000,5000
ORD_0000002,1,PROD_00192,1,26000,26000
ORD_0000003,1,PROD_00395,1,5000,5000
ORD_0000004,1,PROD_00347,1,31000,31000
ORD_0000004,2,PROD_00056,1,114000,114000
ORD_0000004,3,PROD_00328,1,18000,18000
ORD_0000005,1,PROD_00334,1,35000,35000
ORD_0000006,1,PROD_00495,1,25000,25000
ORD_0000006,2,PROD_00204,1,46000,46000
ORD_0000006,3,PROD_00172,1,61000,61000
ORD_0000006,4,PROD_00236,1,56000,56000
ORD_0000007,1,PROD_00002,1,147000,147000
ORD_0000008,1,PROD_00084,1,42000,42000
ORD_0000009,1,PROD_00336,1,14000,14000
ORD_0000010,1,PROD_00074,1,135000,135000
ORD_0000011,1,PROD_00236,2,56000,112000
ORD_0000012,1,PROD_00236,1,56000,56000
ORD_0000013,1,PROD_00236,2,56000,112000
ORD_0000014,1,PROD_00476,1,12000,12000
ORD_0000015,1,PROD_00403,1,20000,20000
ORD_0000015,2,PROD_00133,1,26000,26000
ORD_0000016,1,PROD_00363,1,32000,32000
ORD_0000016,2,PROD_00349,1,18000,18000
ORD_0000017,1,PROD_00403,1,20000,20000
ORD_0000018,1,PROD_00336,1,14000,14000
ORD_0000019,1,PROD_00488,2,18000,36000
ORD_0000020,1,PROD_00239,1,10000,10000
ORD_0000020,2,PROD_00236,1,56000,56000
ORD_0000020,3,PROD_00395,1,5000,5000
ORD_0000021,1,PROD_00236,1,56000,56000
ORD_0000022,1,PROD_00240,1,76000,76000
ORD_0000023,1,PROD_00236,1,56000,56000
ORD_0000023,2,PROD_00239,1,10000,10000
ORD_0000024,1,PROD_00454,3,48000,144000
ORD_0000025,1,PROD_00236,2,56000,112000
ORD_0000026,1,PROD_00236,1,56000,56000
ORD_0000027,1,PROD_00236,1,56000,56000
ORD_0000028,1,PROD_00395,1,5000,5000
ORD_0000028,2,PROD_00312,1,475000,475000
ORD_0000029,1,PROD_00395,1,5000,5000
ORD_0000030,1,PROD_00236,2,56000,112000
ORD_0000030,2,PROD_00185,1,45000,45000
ORD_0000031,1,PROD_00360,1,35000,35000
ORD_0000031,2,PROD_00415,1,26000,26000
ORD_0000032,1,PROD_00250,1,30000,30000
ORD_0000033,1,PROD_00236,1,56000,56000
ORD_0000034,1,PROD_00403,3,20000,60000
ORD_0000035,1,PROD_00236,2,56000,112000
ORD_0000035,2,PROD_00437,1,79000,79000
ORD_0000036,1,PROD_00283,1,328000,328000
ORD_0000036,2,PROD_00236,1,56000,56000
ORD_0000036,3,PROD_00051,1,34000,34000
ORD_0000037,1,PROD_00236,1,56000,56000
ORD_0000038,1,PROD_00250,1,30000,30000
ORD_0000039,1,PROD_00272,3,76000,228000
ORD_0000040,1,PROD_00369,1,6000,6000
ORD_0000040,2,PROD_00309,1,446000,446000
ORD_0000041,1,PROD_00080,1,144000,144000
ORD_0000041,2,PROD_00370,1,37000,37000
ORD_0000041,3,PROD_00210,1,69000,69000
ORD_0000042,1,PROD_00085,1,80000,80000
ORD_0000043,1,PROD_00185,1,45000,45000
ORD_0000043,2,PROD_00128,1,53000,53000
ORD_0000043,3,PROD_00236,1,56000,56000
ORD_0000043,4,PROD_00264,2,39000,78000
ORD_0000043,5,PROD_00405,1,16000,16000
ORD_0000044,1,PROD_00074,1,135000,135000
ORD_0000045,1,PROD_00298,1,96000,96000
ORD_0000046,1,PROD_00236,1,56000,56000
ORD_0000046,2,PROD_00249,1,67000,67000
ORD_0000047,1,PROD_00240,2,76000,152000
ORD_0000048,1,PROD_00368,2,27000,54000
ORD_0000049,1,PROD_00236,1,56000,56000
ORD_0000049,2,PROD_00246,2,46000,92000
ORD_0000050,1,PROD_00193,3,60000,180000
ORD_0000051,1,PROD_00414,1,18000,18000
ORD_0000051,2,PROD_00460,1,111000,111000
ORD_0000052,1,PROD_00208,1,55000,55000
ORD_0000053,1,PROD_00236,1,56000,56000
ORD_0000053,2,PROD_00395,2,5000,10000
ORD_0000054,1,PROD_00236,1,56000,56000
ORD_0000054,2,PROD_00347,1,31000,31000
ORD_0000055,1,PROD_00375,1,13000,13000
ORD_0000055,2,PROD_00236,1,56000,56000
ORD_0000056,1,PROD_00080,1,144000,144000
ORD_0000056,2,PROD_00208,1,55000,55000
ORD_0000057,1,PROD_00051,1,34000,34000
ORD_0000058,1,PROD_00051,1,34000,34000
ORD_0000058,2,PROD_00236,1,56000,56000
ORD_0000058,3,PROD_00370,1,37000,37000
ORD_0000059,1,PROD_00347,1,31000,31000
ORD_0000060,1,PROD_00067,3,27000,81000
ORD_0000060,2,PROD_00368,2,27000,54000
ORD_0000061,1,PROD_00234,1,61000,61000
ORD_0000062,1,PROD_00215,2,10000,20000
ORD_0000063,1,PROD_00291,1,389000,389000
ORD_0000064,1,PROD_00031,1,72000,72000
ORD_0000065,1,PROD_00291,1,389000,389000
ORD_0000066,1,PROD_00236,1,56000,56000
ORD_0000067,1,PROD_00250,2,30000,60000
ORD_0000067,2,PROD_00403,1,20000,20000
ORD_0000067,3,PROD_00236,1,56000,56000
ORD_0000068,1,PROD_00124,1,13000,13000
ORD_0000069,1,PROD_00236,1,56000,56000
ORD_0000070,1,PROD_00242,2,29000,58000
ORD_0000071,1,PROD_00182,1,62000,62000
ORD_0000072,1,PROD_00409,1,6000,6000
ORD_0000072,2,PROD_00286,1,194000,194000
ORD_0000073,1,PROD_00395,1,5000,5000
ORD_0000074,1,PROD_00236,1,56000,56000
ORD_0000075,1,PROD_00201,1,17000,17000
ORD_0000076,1,PROD_00421,1,7000,7000
ORD_0000076,2,PROD_00417,1,11000,11000
ORD_0000076,3,PROD_00368,1,27000,27000
ORD_0000076,4,PROD_00135,1,54000,54000
ORD_0000077,1,PROD_00236,1,56000,56000
ORD_0000078,1,PROD_00494,1,13000,13000
ORD_0000078,2,PROD_00435,1,115000,115000
ORD_0000079,1,PROD_00236,1,56000,56000
ORD_0000079,2,PROD_00215,3,10000,30000
ORD_0000080,1,PROD_00201,1,17000,17000
ORD_0000081,1,PROD_00312,1,475000,475000
ORD_0000081,2,PROD_00236,1,56000,56000
ORD_0000081,3,PROD_00403,1,20000,20000
ORD_0000082,1,PROD_00006,2,70000,140000
ORD_0000082,2,PROD_00192,3,26000,78000
ORD_0000083,1,PROD_00475,2,22000,44000
ORD_0000084,1,PROD_00368,1,27000,27000
ORD_0000085,1,PROD_00236,3,56000,168000
ORD_0000086,1,PROD_00291,1,389000,389000
ORD_0000087,1,PROD_00302,1,211000,211000
ORD_0000087,2,PROD_00236,1,56000,56000
ORD_0000087,3,PROD_00221,2,15000,30000
ORD_0000088,1,PROD_00236,1,56000,56000
ORD_0000089,1,PROD_00071,1,64000,64000
ORD_0000090,1,PROD_00077,1,55000,55000
ORD_0000090,2,PROD_00238,1,46000,46000
ORD_0000091,1,PROD_00290,1,296000,296000
ORD_0000091,2,PROD_00236,1,56000,56000
ORD_0000092,1,PROD_00236,1,56000,56000
ORD_0000092,2,PROD_00043,1,135000,135000
ORD_0000093,1,PROD_00347,1,31000,31000
ORD_0000093,2,PROD_00403,1,20000,20000
ORD_0000094,1,PROD_00241,1,55000,55000
ORD_0000095,1,PROD_00236,1,56000,56000
ORD_0000095,2,PROD_00368,1,27000,27000
ORD_0000096,1,PROD_00313,1,67000,67000
ORD_0000097,1,PROD_00185,1,45000,45000
ORD_0000098,1,PROD_00236,1,56000,56000
ORD_0000098,2,PROD_00080,1,144000,144000
ORD_0000098,3,PROD_00224,1,59000,59000
ORD_0000099,1,PROD_00074,3,135000,405000
ORD_0000099,2,PROD_00236,1,56000,56000
ORD_0000099,3,PROD_00288,1,326000,326000
ORD_0000100,1,PROD_00347,2,31000,62000
ORD_0000101,1,PROD_00236,1,56000,56000
ORD_0000102,1,PROD_00424,1,22000,22000
ORD_0000102,2,PROD_00241,1,55000,55000
ORD_0000102,3,PROD_00250,1,30000,30000
ORD_0000103,1,PROD_00210,1,69000,69000
ORD_0000103,2,PROD_00238,2,46000,92000
ORD_0000103,3,PROD_00236,1,56000,56000
ORD_0000104,1,PROD_00414,1,18000,18000
ORD_0000105,1,PROD_00251,1,54000,54000
ORD_0000106,1,PROD_00013,1,80000,80000
ORD_0000106,2,PROD_00236,1,56000,56000
ORD_0000107,1,PROD_00408,1,16000,16000
ORD_0000108,1,PROD_00185,1,45000,45000
ORD_0000109,1,PROD_00336,1,14000,14000
ORD_0000110,1,PROD_00236,1,56000,56000
ORD_0000110,2,PROD_00071,1,64000,64000
ORD_0000110,3,PROD_00074,1,135000,135000
ORD_0000111,1,PROD_00011,1,56000,56000
ORD_0000112,1,PROD_00347,1,31000,31000
ORD_0000112,2,PROD_00286,1,194000,194000
ORD_0000112,3,PROD_00421,1,7000,7000
ORD_0000113,1,PROD_00408,1,16000,16000
ORD_0000114,1,PROD_00408,2,16000,32000
ORD_0000114,2,PROD_00236,1,56000,56000
ORD_0000115,1,PROD_00293,1,468000,468000
ORD_0000115,2,PROD_00423,1,10000,10000
ORD_0000116,1,PROD_00124,1,13000,13000
ORD_0000117,1,PROD_00462,2,32000,64000
ORD_0000118,1,PROD_00451,1,30000,30000
ORD_0000118,2,PROD_00401,1,11000,11000
ORD_0000118,3,PROD_00079,1,77000,77000
ORD_0000119,1,PROD_00428,1,16000,16000
ORD_0000120,1,PROD_00385,1,17000,17000
ORD_0000120,2,PROD_00288,1,326000,326000
ORD_0000120,3,PROD_00189,1,52000,52000
ORD_0000121,1,PROD_00395,2,5000,10000
ORD_0000121,2,PROD_00406,1,27000,27000
ORD_0000122,1,PROD_00219,1,69000,69000
ORD_0000123,1,PROD_00236,2,56000,112000
ORD_0000124,1,PROD_00401,1,11000,11000
ORD_0000124,2,PROD_00322,1,16000,16000
ORD_0000124,3,PROD_00236,1,56000,56000
ORD_0000124,4,PROD_00074,1,135000,135000
ORD_0000124,5,PROD_00135,2,54000,108000
ORD_0000125,1,PROD_00380,1,23000,23000
ORD_0000125,2,PROD_00121,2,74000,148000
ORD_0000126,1,PROD_00328,1,18000,18000
ORD_0000126,2,PROD_00236,2,56000,112000
ORD_0000126,3,PROD_00058,1,55000,55000
ORD_0000127,1,PROD_00215,1,10000,10000
ORD_0000128,1,PROD_00124,1,13000,13000
ORD_0000129,1,PROD_00272,2,76000,152000
ORD_0000129,2,PROD_00411,1,23000,23000
ORD_0000130,1,PROD_00236,1,56000,56000
ORD_0000131,1,PROD_00347,1,31000,31000
ORD_0000131,2,PROD_00085,1,80000,80000
ORD_0000131,3,PROD_00185,2,45000,90000
ORD_0000132,1,PROD_00347,1,31000,31000
ORD_0000133,1,PROD_00215,1,10000,10000
ORD_0000134,1,PROD_00185,1,45000,45000
ORD_0000134,2,PROD_00142,1,19000,19000
ORD_0000135,1,PROD_00056,1,114000,114000
ORD_0000136,1,PROD_00368,1,27000,27000
ORD_0000136,2,PROD_00283,1,328000,328000
ORD_0000137,1,PROD_00076,1,139000,139000
ORD_0000138,1,PROD_00278,1,218000,218000
ORD_0000139,1,PROD_00395,1,5000,5000
ORD_0000140,1,PROD_00236,1,56000,56000
ORD_0000141,1,PROD_00408,1,16000,16000
ORD_0000142,1,PROD_00238,1,46000,46000
