order_id,payment_method,subtotal,shipping_fee,discount,total_amount
ORD_0000001,신용카드,35000,3000,0.0,38000.0
ORD_0000002,네이버페이,26000,3000,1700.0,27300.0
ORD_0000003,네이버페이,5000,3000,0.0,8000.0
ORD_0000004,네이버페이,163000,0,0.0,163000.0
ORD_0000005,카카오페이,35000,3000,0.0,38000.0
ORD_0000006,신용카드,188000,0,0.0,188000.0
ORD_0000007,신용카드,147000,0,11200.0,135800.0
ORD_0000008,신용카드,42000,3000,5300.0,39700.0
ORD_0000009,신용카드,14000,3000,1400.0,15600.0
ORD_0000010,휴대폰결제,135000,0,0.0,135000.0
ORD_0000011,토스페이,112000,0,0.0,112000.0
ORD_0000012,토스페이,56000,0,0.0,56000.0
ORD_0000013,신용카드,112000,0,0.0,112000.0
ORD_0000014,토스페이,12000,3000,1600.0,13400.0
ORD_0000015,카카오페이,46000,3000,2900.0,46100.0
ORD_0000016,무통장입금,50000,0,0.0,50000.0
ORD_0000017,네이버페이,20000,3000,0.0,23000.0
ORD_0000018,휴대폰결제,14000,3000,0.0,17000.0
ORD_0000019,토스페이,36000,3000,0.0,39000.0
ORD_0000020,신용카드,71000,0,0.0,71000.0
ORD_0000021,토스페이,56000,0,0.0,56000.0
ORD_0000022,신용카드,76000,0,0.0,76000.0
ORD_0000023,신용카드,66000,0,0.0,66000.0
ORD_0000024,신용카드,144000,0,0.0,144000.0
ORD_0000025,카카오페이,112000,0,0.0,112000.0
ORD_0000026,신용카드,56000,0,3600.0,52400.0
ORD_0000027,신용카드,56000,0,5900.0,50100.0
ORD_0000028,신용카드,480000,0,0.0,480000.0
ORD_0000029,신용카드,5000,3000,600.0,7400.0
ORD_0000030,신용카드,157000,0,20100.0,136900.0
ORD_0000031,네이버페이,61000,0,6100.0,54900.0
ORD_0000032,네이버페이,30000,3000,0.0,33000.0
ORD_0000033,카카오페이,56000,0,6500.0,49500.0
ORD_0000034,카카오페이,60000,0,3700.0,56300.0
ORD_0000035,카카오페이,191000,0,0.0,191000.0
ORD_0000036,네이버페이,418000,0,0.0,418000.0
ORD_0000037,휴대폰결제,56000,0,2900.0,53100.0
ORD_0000038,토스페이,30000,3000,0.0,33000.0
ORD_0000039,신용카드,228000,0,0.0,228000.0
ORD_0000040,신용카드,452000,0,24400.0,427600.0
ORD_0000041,네이버페이,250000,0,28500.0,221500.0
